taxa,PC1,PC2
L01_86,-8.04333352348735,4.79415762790523
L01_88,-21.8026310527956,-10.3003586191113
L01_89,-24.4748272623214,-0.52637196561686
L01_9,-24.4547456942057,2.98406825519607
L01_90,-20.5587474955011,-9.56536045806812
L01_93,-24.9099961258746,7.3476695667098
L01_94,-22.6797339246281,-12.5851443538111
L01_96,-23.4557835246582,5.0055875424957
L02_10,-26.3636697152117,7.70437578874515
L02_15,-22.2008305039261,-17.7835524868616
L02_16,-24.9924239563033,10.3552161657956
L02_17,-26.2157547009679,1.8258719751026
L02_2,-26.6644761206123,8.47517374511007
L02_24,-24.7403155097758,8.01363170065733
L02_25,-27.0716829652253,7.5898375102832
L02_26,-26.5392343915696,6.42468620000784
L02_31,10.418173768496,1.22041232728229
L02_32,-25.0845336762778,22.5007231812
L02_33,-21.847975740894,-12.1831157855534
L02_34,-18.4114488356343,-10.9278978021578
L02_39,-26.157542179816,6.05236691275425
L02_40,-21.9404632447322,-9.37121091617851
L02_41,-26.9344990236743,5.69616070444444
L02_42,-17.0492840301095,-66.3300472968365
L02_47,-26.826458486263,6.11607778441413
L02_48,-25.6999319918667,0.707778481120511
L02_49,-20.3054878790773,-50.2931165845086
L02_50,-26.0542305727251,2.52831057066141
L02_55,-27.6019533236398,6.92630873209861
L02_56,-26.1455150333911,5.85670123796977
L02_57,-26.2721087331374,22.9875091082849
L02_58,-24.8027958141075,1.57790220394021
L02_63,-25.0100053225912,4.81193107920016
L02_64,-25.5179575493551,5.80834862681185
L02_71,-22.746542486483,-18.5494213507396
L02_72,-22.7299777221233,-36.1930212580047
L02_74,99.187767104733,1.9981634593434
L02_8,-26.2154485291711,5.93712894049937
L02_80,-26.317166744298,6.52731282233813
L02_82,-27.8064411824153,5.05108207343845
L02_87,-26.0480545477291,22.9226872466742
L02_88,-22.8939247580718,-18.9174593087485
L02_89,-24.3186904512979,2.86133043153936
L02_90,-27.1099486177028,4.19541058203973
L02_95,-24.2610261481867,4.60082320381387
L02_96,-23.4050819523215,6.77648732525639
L03_1,-19.4135591078029,8.50744177067221
L03_10,11.5700949760215,1.88347829772465
L03_11,48.918887294067,-36.0285128715477
L03_12,7.7788267931402,-14.9555933871413
L03_13,24.4408261762563,6.50758477549428
L03_14,-13.279761827652,-13.6749045767515
L03_15,65.4573026614431,-37.6384574709769
L03_17,-23.0509247087608,3.77351919522806
L03_18,-22.5633219176219,5.07161099913518
L03_19,1.99848491009341,-15.819520392335
L03_2,-12.3784358971815,8.20031679999344
L03_20,-23.7726001313272,4.05094630599716
L03_21,-15.5868667661721,3.6681999762728
L03_22,-18.0045698462326,-11.2756987565942
L03_23,-20.6530475241977,4.5529021320605
L03_24,14.8851056784111,-55.4691883474453
