"","GenoID_RAD","Tag_Date","Tag_ID","Length","Weight","Fin_Clip_Number","Comment","Tank","Treatment","collector","Smolt_Assessment","SA_date","FL","WT","SI_text","SI_code","Tank.1","Tech","SWC_PIT","SWC_mort_14_day","Mort_Date","SWC_Tank","SWC_FL","X48_hr_SWC_mort"
"418","L06_68","12/8/20","3D6.1D594D798B",85,6.8,525,NA,7,"LC","chris","3D6.1D594D798B","4/20/21",133,25,"Parr",1,7,"AM","3D6.1D594D798B",1,"5/5/21",34,136,1
"419","L06_76","12/8/20","3D6.1D595921E3",62,2.9,526,NA,7,"LC","chris","3D6.1D595921E3","4/20/21",79,5.3,"Parr",1,7,"AM",NA,0,NA,NA,NA,NA
"423","L06_13","12/8/20","3D6.1D5958A146",88,7.3,530,NA,7,"LC","chris","3D6.1D5958A146","4/20/21",158,44.8,"Smolt",3,7,"AM","3D6.1D5958A146",1,"5/10/21",35,149,0
"428","L06_53","12/8/20","3D6.1D595878E8",92,9.2,535,NA,7,"LC","chris","3D6.1D595878E8","4/20/21",177,65.2,"Smolt",3,7,"AM","3D6.1D595878E8",1,"5/10/21",35,178,0
"441","L06_70","12/8/20","3D6.1D59592E00",114,18,549,NA,7,"LC","chris","3D6.1D59592E00","4/20/21",216,123.2,"Smolt",3,7,"JA",NA,0,NA,NA,NA,NA
"443","L06_86","12/8/20","3D6.1D59590BCF",106,13.4,551,NA,7,"LC","chris","3D6.1D59590BCF","4/20/21",195,88.4,"Smolt",3,7,"JA",NA,0,NA,NA,NA,NA
"444","L06_94","12/8/20","3D6.1D59586307",95,11.3,552,NA,7,"LC","chris","3D6.1D59586307","4/20/21",163,54.9,"Parr",1,7,"AM","3D6.1D59586307",1,"5/6/21",34,161,0
"446","L06_15","12/8/20","3D6.1D5959156F",87,8.2,554,NA,7,"LC","chris","3D6.1D5959156F","4/20/21",162,43.5,"Parr",1,7,"JA","3D6.1D5959156F",1,"5/12/21",35,162,0
"450","L06_55","12/8/20","3D6.1D59588DCE",116,17.4,559,NA,7,"LC","chris","3D6.1D59588DCE","4/20/21",204,91.7,"Smolt",3,7,"AM","3D6.1D59588DCE",1,"5/8/21",34,203,0
"454","L06_87","12/8/20","3D6.1D5958A4FA",82,6.1,563,NA,7,"LC","chris","3D6.1D5958A4FA","4/20/21",129,25.2,"Parr",1,7,"JA","3D6.1D5958A4FA",1,"5/5/21",34,129,1
