Tag.Date,Tag_ID,Length,Weight,Fin_Clip_Number,Comment,Tank...7,Treatment,collector,Smolt.Assessment,SA.date,FL,WT,SI.text,SI.code,Tank...16,Tech,SWC.PIT,SWC.mort.14.day,Mort.Date,SWC.Tank,SWC.FL,X48.hr.SWC.mort
2020-12-08T00:00:00Z,3D6.1D595913AB,80,6.2,310,NA,8,EC,rob,3D6.1D595913AB,2021-04-22T00:00:00Z,120,19.5,Parr,1,8,AM,3D6.1D595913AB,1,2021-05-05T00:00:00Z,35,123,1
2020-12-07T00:00:00Z,3D6.1D594D7A3E,80,5.8,211,NA,9,EC,rob,3D6.1D594D7A3E,2021-04-22T00:00:00Z,129,23.2,Parr,1,9,JA,3D6.1D594D7A3E,1,2021-05-05T00:00:00Z,35,129,1
2020-12-08T00:00:00Z,3D6.1D59591C08,127,22.7,362,NA,8,EC,rob,3D6.1D59591C08,2021-04-22T00:00:00Z,177,62.7,Parr,1,8,AM,3D6.1D59591C08,1,2021-05-08T00:00:00Z,35,175,0
2020-12-08T00:00:00Z,3D6.1D59586862,84,7.2,1358,NA,8,EC,jeff,3D6.1D59586862,2021-04-22T00:00:00Z,147,37.1,Parr,1,8,JA,3D6.1D59586862,1,2021-05-12T00:00:00Z,35,141,0
2020-12-07T00:00:00Z,3D6.1D59589277,119,19.2,1213,NA,9,EC,jeff,3D6.1D59589277,2021-04-22T00:00:00Z,190,86.3,Parr,1,9,AM,3D6.1D59589277,1,2021-05-07T00:00:00Z,35,188,0
2020-12-08T00:00:00Z,3D6.1D59592D82,109,13.7,1368,NA,8,EC,jeff,3D6.1D59592D82,2021-04-22T00:00:00Z,164,46.4,Parr,1,8,JA,3D6.1D59592D82,1,2021-05-05T00:00:00Z,34,161,1
2020-12-08T00:00:00Z,3D6.1D59592661,105,12.4,318,NA,8,EC,rob,3D6.1D59592661,2021-04-22T00:00:00Z,165,47.8,Parr,1,8,JA,3D6.1D59592661,1,2021-05-05T00:00:00Z,35,161,1
2020-12-07T00:00:00Z,3D6.1D59591C01,101,10.8,1274,NA,9,EC,jeff,3D6.1D59591C01,2021-04-22T00:00:00Z,161,43.4,Parr,1,9,AM,3D6.1D59591C01,1,2021-05-04T00:00:00Z,34,159,1
2020-12-08T00:00:00Z,3D6.1D59592609,114,17.2,1341,NA,8,EC,jeff,3D6.1D59592609,2021-04-22T00:00:00Z,176,62.7,Parr,1,8,AM,3D6.1D59592609,1,2021-05-10T00:00:00Z,34,173,0
2020-12-08T00:00:00Z,3D6.1D5958A102,92,7.9,1333,NA,8,EC,jeff,3D6.1D5958A102,2021-04-22T00:00:00Z,150,38.4,Parr,1,8,JA,3D6.1D5958A102,1,2021-05-07T00:00:00Z,34,153,0
